user_id,age,weight,height,gender,BMR
1243,27.0,73.06683253231398,162.72388713661041,Male,1576.8784479145231
4971,28.0,77.73028374120368,179.49541354900938,Female,1536.6564552359932
1629,57.0,85.70479045856655,158.40305248986215,Male,1697.6949545974696
6201,47.0,67.01218612099719,168.11374645306296,Male,1471.5249422310653
7833,36.0,79.92951177207712,175.56112583367508,Male,1743.1474353775823
4247,46.0,50.480358512889396,166.82785268885252,Female,1172.6852216179561
3340,28.0,72.20326485746054,180.9179934845836,Female,1630.4231102571546
1846,54.0,98.74337470428952,146.68308659593959,Female,1508.6681694505546
290,21.0,78.84881990838207,181.47810726780398,Female,1602.9087561368563
7900,29.0,74.40315481705512,164.67340589055087,Female,1526.0968873112613
1803,21.0,42.34314164894731,157.8942080770016,Female,1207.7885671071758
6655,59.0,58.73064701965699,176.26264545595302,Male,1367.460155816669
948,48.0,77.07754313436689,165.32505686427365,Female,1334.0844355629145
5878,44.0,61.094762831089064,160.94104629509485,Male,1340.93327154262
4322,22.0,52.79225615879145,185.84299605416598,Male,1582.1040198445305
8647,40.0,46.892508888608646,169.55227269987037,Female,1191.2443184808646
7220,50.0,84.14432961781606,182.1072871733988,Male,1693.1941738125597
757,43.0,84.38002298200848,145.89124605313157,Female,1442.050238215545
6289,41.0,60.273663872910305,166.83764023338773,Male,1387.85247616686
8381,39.0,71.12148097457194,179.6578055624961,Female,1640.7821897910158
8856,29.0,72.9036831833453,155.2792118485363,Male,1587.4958851558877
5779,34.0,64.29952045594723,172.84171308725882,Female,1395.6155326389742
859,37.0,105.53011339577661,172.52052157259857,Male,1879.9046150255567
5382,31.0,80.8222738895372,173.96548470659,Male,1752.5480865132263
267,60.0,64.2495356378123,176.25370983078665,Male,1390.8011237848011
5863,52.0,63.16679704706534,177.0088619594569,Female,1403.1623403024892
6751,64.0,67.56042508591553,164.63839035417956,Male,1330.3547436203146
7807,52.0,35.9916568957102,175.42814851352827,Male,1197.6912304927112
6194,41.0,81.55835267893752,190.22064117763244,Female,1575.6172748098154
5665,51.0,79.35406960196693,154.2821977213107,Male,1502.503412587454
2200,53.0,92.99843162046423,184.1755627847516,Male,1775.45642092693
3453,26.0,79.5835263704288,172.60168544697947,Male,1719.9363202793863
7487,31.0,39.64747644139926,150.49105604490165,Female,1060.6462436734994
2655,49.0,56.178972501052684,166.22368848219384,Male,1348.3091948583708
1346,48.0,87.0119170894368,188.42812522338616,Female,1708.1407587032488
3234,52.0,74.88837131870767,188.79268058484817,Female,1527.578766815038
724,55.0,65.22379389742109,186.88139931983645,Female,1379.8523450076636
8357,36.0,60.61674169372164,191.3937278001539,Male,1574.7944679200518
7825,28.0,33.70858211585549,185.19034661833376,Male,1425.6635769902155
3691,44.0,81.631841590158,171.09086656046546,Male,1675.6920469175855
8665,52.0,83.6307038566398,174.2844818290525,Female,1462.9869143027017
990,52.0,85.19306035708352,181.66299577580156,Female,1583.1455298061571
2262,29.0,60.49224462942833,146.76589782860023,Male,1399.4728475996185
8546,52.0,56.914925733449714,186.94234378351945,Female,1335.3043999416245
60,56.0,84.02383901451104,181.09286177231817,Male,1708.0775704711393
4712,33.0,61.45153854495494,168.307533752554,Male,1508.0209729729763
5199,26.0,82.50005961489049,164.35006894435034,Female,1515.7038204796822
3353,41.0,58.010026684952244,164.75679045857999,Male,1390.1855212921785
1580,49.0,67.98477714173656,173.7630990368604,Male,1509.0266779528415
292,42.0,75.56537730547737,165.8049286823939,Male,1508.1280890120556
8157,18.0,73.57859473160356,172.23197332980365,Male,1745.530266755057
6187,44.0,65.4860747661919,164.94812214258764,Female,1296.3944189944993
4827,19.0,73.86989927094938,156.28135746702984,Male,1627.4809340233326
3686,42.0,90.09660761558266,169.56052053231343,Female,1642.9415763147879
7794,26.0,79.14071802885451,177.30424883802766,Male,1793.8738396078497
8210,62.0,87.46643028845264,155.6243740550933,Female,1294.0382803656748
2583,52.0,61.154814993032666,170.6975629416973,Female,1272.8161234078113
5455,33.0,91.86712782437175,149.3981403592933,Male,1733.1736705008934
610,30.0,83.558549963009,174.78048960019717,Female,1666.4019198714989
1305,31.0,63.431975096234304,171.00161436954807,Female,1405.5022019748128
5186,53.0,84.00222564624812,162.86455098377542,Female,1410.5380915069288
